Name,Type,Rarity,BaseAttack
Skyward Blade,Sword,5,46
Aquila Favonia,Sword,5,48
Blackcliff Longsword,Sword,4,44
The Flute,Sword,4,42
The Black Sword,Sword,4,42
The Alley Flash,Sword,4,44
Sword of Descension,Sword,4,39
Sacrificial Sword,Sword,4,41
Royal Longsword,Sword,4,42
Prototype Rancour,Sword,4,44
Lion's Roar,Sword,4,42
Iron Sting,Sword,4,42
Favonius Sword,Sword,4,41
Harbinger of Dawn,Sword,3,39
Skyrider Sword,Sword,3,38
Fillet Blade,Sword,3,39
Dark Iron Sword,Sword,3,40
Cool Steel,Sword,3,39
Traveler's Handy Sword,Sword,3,40
Silver Sword,Sword,2,33
Dull Blade,Sword,1,23
unwu's Iris Rift,Polearm,5,46
Primordial Jade Winged-Spear,Polearm,5,48
Blackcliff Pole,Polearm,4,42
Crescent Pike,Polearm,4,44
Deathmatch,Polearm,4,41
Dragon's Bane,Polearm,4,41
Favonius Lance,Polearm,4,44
Lithic Spear,Polearm,4,42
Prototype Grudge,Polearm,4,42
Black Tassel,Polearm,3,38
Halberd,Polearm,3,40
White Tassel,Polearm,3,39
Iron Point,Polearm,2,33
Beginner's Protector,Polearm,1,23
lf's Gravestone,Claymore,5,46
Skyward Pride,Claymore,5,48
Rainslasher,Claymore,4,42
Whiteblind,Claymore,4,42
The Bell,Claymore,4,42
Serpent Spine,Claymore,4,42
Sacrificial Greatsword,Claymore,4,44
Blackcliff Slasher,Claymore,4,42
Prototype Aminus,Claymore,4,44
Lithic Blade,Claymore,4,41
Favonius Greatsword,Claymore,4,41
Royal Greatsword,Claymore,4,44
Quartz,Claymore,3,40
Bloodtainted Greatsword,Claymore,3,38
Skyrider Greatsword,Claymore,3,39
Ferrous Shadow,Claymore,3,39
White Iron Greatsword,Claymore,3,39
Debate Club,Claymore,3,39
Old Merc's Pal,Claymore,2,33
Waster Greatsword,Claymore,1,23
Lost Prayer to the Sacred Winds,Catalyst,5,46
Skyward Atlas,Catalyst,5,48
Wine and Song,Catalyst,4,42
Blackcliff Amulet,Catalyst,4,42
Eye of Perception,Catalyst,4,41
Favonius Codex,Catalyst,4,42
Mappa Mare,Catalyst,4,44
The Widsith,Catalyst,4,42
Solar Pearl,Catalyst,4,42
Prototype Malice,Catalyst,4,41
Royal Grimoire,Catalyst,4,44
Sacrificial Fragments,Catalyst,4,41
Twin Nephrite,Catalyst,3,40
Thrilling Tales of Dragon Slayers,Catalyst,3,39
Amber Catalyst,Catalyst,3,40
Magic Guide,Catalyst,3,38
Otherworldly Story,Catalyst,3,39
Emerald Orb,Catalyst,3,40
Pocket Grimoire,Catalyst,2,33
Apprentice's Notes,Catalyst,1,23
Amos' Bow,Bow,5,46
Skyward Harp,Bow,5,45
Alley Hunter,Bow,4,41
The Stringless,Bow,4,42
Sacrificial Bow,Bow,4,43
Rust,Bow,4,42
Royal Bow,Bow,4,42
The Viridescent Hunt,Bow,4,42
Prototype Crescent,Bow,4,42
Favonius Warbow,Bow,4,41
Compound Bow,Bow,4,41
Blackcliff Warbow,Bow,4,44
Raven Bow,Bow,3,40
Messenger,Bow,3,40
Ebony Bow,Bow,3,40
Sharpshooter's Oath,Bow,3,39
Slingshot,Bow,3,38
Recurve Bow,Bow,3,38
Seasoned Hunter's Bow,Bow,2,33
Hunter's Bow,Bow,1,23
