Name,Type,Rarity,BaseAttack
Alley Hunter,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/0/0a/Weapon_Alley_Hunter.png,4,41,CRIT Rate,Urban Guerrilla
Amber Catalyst,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/9/97/Weapon_Amber_Catalyst.png,3,40,Elemental Mastery,Elemental Mastery
Amos' Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/d/de/Weapon_Amos%27_Bow.png,5,46,Base ATK,Strong-Willed
Apprentice's Notes,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/c/cf/Weapon_Apprentice%27s_Notes.png,1,23,None,None
Aquila Favonia,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/6/6a/Weapon_Aquila_Favonia.png,5,48,Physical DMG Bonus,Falcon's Defiance
Beginner's Protector,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/f/fc/Weapon_Beginner%27s_Protector.png,1,23,None,None
Black Tassel,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/4/43/Weapon_Black_Tassel.png,3,38,HP,Bane of the Soft
Blackcliff Amulet,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/2/21/Weapon_Blackcliff_Amulet.png,4,42,Energy Recharge,Exorcise
Blackcliff Longsword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/6/6f/Weapon_Blackcliff_Longsword.png,4,44,Physical DMG Bonus,Press the Advantage
Blackcliff Pole,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/d/d5/Weapon_Blackcliff_Pole.png,4,42,CRIT DMG,Press the Advantage
Blackcliff Slasher,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/d/d7/Weapon_Blackcliff_Slasher.png,4,42,CRIT DMG,Press the Advantage
Blackcliff Warbow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/b/b8/Weapon_Blackcliff_Warbow.png,4,44,Base ATK,Press the Advantage
Bloodtainted Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/4/4a/Weapon_Bloodtainted_Greatsword.png,3,38,Elemental Mastery,Bane of Fire and Thunder
Compound Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/3/32/Weapon_Compound_Bow.png,4,41,Physical DMG Bonus,Infusion Arrow
Cool Steel,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/9/9c/Weapon_Cool_Steel.png,3,39,ATK,Bane of Water and Ice
Crescent Pike,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/4/4c/Weapon_Crescent_Pike.png,4,44,Physical DMG Bonus,Infusion Needle
Dark Iron Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/3/3a/Weapon_Dark_Iron_Sword.png,3,40,Elemental Mastery,Overloaded
Deathmatch,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/6/69/Weapon_Deathmatch.png,4,41,CRIT Rate,Gladiator
Debate Club,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/7/74/Weapon_Debate_Club.png,3,39,ATK,Blunt Conclusion
Dragon's Bane,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/2/24/Weapon_Dragon%27s_Bane.png,4,41,Elemental Mastery,Bane of Flame and Water
Dull Blade,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/2/2f/Weapon_Dull_Blade.png,1,23,None,None
Ebony Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/a/a1/Weapon_Ebony_Bow.png,3,40,Base ATK,Decimate
Emerald Orb,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/7/7c/Weapon_Emerald_Orb.png,3,40,Elemental Mastery,Rapids
Eye of Perception,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/6/6c/Weapon_Eye_of_Perception.png,4,41,Base ATK,Echo
Favonius Codex,Catalyst,https://vignette.wikia.nocookie.net/gensin-impact/images/3/36/Weapon_Favonius_Codex.png,4,42,Energy Recharge,Critical Charge
Favonius Greatsword,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/9/9c/Weapon_Favonius_Greatsword.png,4,41,Energy Recharge,Critical Charge
Favonius Lance,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/5/57/Weapon_Favonius_Lance.png,4,44,Energy Recharge,Windfall
Favonius Sword,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/9/90/Weapon_Favonius_Sword.png,4,41,Energy Recharge,Windfall
Favonius Warbow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/8/85/Weapon_Favonius_Warbow.png,4,41,Energy Recharge,Windfall
Ferrous Shadow,Claymore,https://vignette.wikia.nocookie.net/gensin-impact/images/e/e9/Weapon_Ferrous_Shadow.png,3,39,Base HP,Unbending
Fillet Blade,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/f/f7/Weapon_Fillet_Blade.png,3,39,ATK,Gash
Halberd,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/4/41/Weapon_Halberd.png,3,40,Base ATK,Heavy
Harbinger of Dawn,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/2/23/Weapon_Harbinger_of_Dawn.png,3,39,CRIT DMG,Vigorous
Hunter's Bow,Bow,https://vignette.wikia.nocookie.net/gensin-impact/images/4/44/Weapon_Hunter%27s_Bow.png,1,23,None,None
Iron Point,Polearm,https://vignette.wikia.nocookie.net/gensin-impact/images/2/25/Weapon_Iron_Point.png,2,33,None,None
Iron Sting,Sword,https://vignette.wikia.nocookie.net/gensin-impact/images/3/35/Weapon_Iron_Sting.png,4,42,Elemental Mastery,Infusion Stinger
